MAPE,MSE,RMSE
"14.5963784687187","0.381628065293827","0.617760524227493"
"14.1030887502628","0.369309931387253","0.60770875539789"
"14.0206538893154","0.372590855586601","0.610402208045319"
"14.0900684531636","0.383103608490633","0.618953640017274"
"14.2291846716305","0.395486490591348","0.628877166536795"
"14.3865008697","0.407680610328458","0.638498715995935"
"14.5545727515467","0.419480659611489","0.647673266092935"
"14.7472336695217","0.43082883715977","0.656375530591878"
"14.9211550285959","0.441495829817458","0.664451525558831"
"15.0787605030015","0.451301965793874","0.671790120345539"
"15.2272131238398","0.460201549996162","0.678381566668908"
"15.362417124948","0.468244279240821","0.684283770990384"
"15.4775051119276","0.475521742894281","0.689580845800027"
"15.576417644843","0.482134148298877","0.694358803716693"
"15.6643345824696","0.488174771175629","0.69869504876994"
"15.7427359478565","0.493724229538617","0.702655128451089"
"15.8136182764197","0.498849463235944","0.706292760288497"
"15.8773729673222","0.503604804294929","0.709651184945765"
"15.9353450041428","0.508033850455225","0.712764933519618"
"15.9911527363091","0.51217150163902","0.715661583179522"
"16.0482981485462","0.516045850120773","0.718363313456898"
"16.1041133389994","0.519679794414852","0.720888198276856"
"16.1594711076135","0.523092344661864","0.723251232050014"
"16.2111708772306","0.526299637385483","0.725465117966042"
"16.2596995967223","0.529315699331657","0.727540857499877"
"16.3058066612619","0.532153006082536","0.729488180906679"
"16.348703252492","0.534822879133353","0.73131585456173"
"16.3886929262565","0.537335759759464","0.733031895458488"
"16.4261980170474","0.539701391703456","0.734643717528065"
"16.4611884288502","0.541928938579096","0.736158229308819"
"16.4938070611763","0.54402705634435","0.737581898059022"
"16.5249469914334","0.54600393637043","0.738920791675556"
"16.5540654773083","0.547867330550658","0.740180606710726"
"16.5813068949937","0.549624566535207","0.741366688309643"
"16.60691070164","0.551282558507059","0.742484045961298"
"16.6314583012772","0.552847816871722","0.743537367501945"
"16.6546927946809","0.554326458741351","0.744531032759112"
"16.6770026111523","0.555724220063043","0.745469127504985"
"16.69848115526","0.557046469577491","0.746355457927046"
"16.7187430833327","0.558298224407424","0.747193565555422"
"16.7378780021888","0.559484166885402","0.747986742452967"
"16.7570591184895","0.560608662170738","0.748738046429282"
"16.7757861857802","0.561675776224248","0.749450316047867"
"16.7937289995799","0.562689293769381","0.750126185231112"
"16.8107422744902","0.563652735943992","0.750768097313672"
"16.8268888355613","0.564569377422873","0.751378318440766"
"16.8422270034903","0.565442262858786","0.751958950248473"
"16.8568109024879","0.566274222545493","0.752511941795938"
"16.8706907488891","0.567067887249814","0.75303910074432"
"16.8839830763336","0.567825702191904","0.753542103795073"
"16.8967020111306","0.568549940175884","0.754022506412033"
"16.9088441426294","0.56924271388852","0.754481751859195"
"16.9204466588502","0.569905987393709","0.754921179590101"
"16.9319959669088","0.570541586856683","0.755342033026551"
"16.943484837656","0.571151210535261","0.755745466764612"
"16.9545050726901","0.571736438077019","0.756132553245143"
"16.9650842797745","0.572298739161643","0.756504288924817"
"16.9752481257101","0.572839481527268","0.75686159998197"
"16.9850204803646","0.57335993841873","0.757205347589893"
"16.9944235504702","0.573861295494429","0.757536332788355"
"17.0034780037718","0.574344657227103","0.757855300982386"
"17.012203084097","0.574811052832314","0.75816294609557"
"17.0206167179075","0.575261441756852","0.758459914403426"
"17.0287356128735","0.575696718757665","0.758746808070825"
"17.0365753489982","0.576117718600302","0.759024188415825"
"17.0441504627974","0.576525220404226","0.759292578920818"
"17.0514807457376","0.576919951660775","0.759552468010456"
"17.0586157503807","0.577302591947945","0.759804311614474"
"17.0655256567644","0.577673776364681","0.760048535532226"
