No,Event ID,Date time,Latitude,Longitude,Magnitude,Mag Type,Depth (km),Phase Count,Azimuth Gap,Location,Agency
41,bmg2024dlap,2024-02-18T17:23:49.945387Z,-5.777748584747314,105.86359405517578,4.0892813448973646,M,187,102,76.40591049194336,Sunda Strait, Indonesia,BMKG
42,bmg2024dhsd,2024-02-16T21:43:39.278301Z,-7.197667121887207,107.68475341796875,2.327214646474245,M,11,19,96.95362854003906,Java, Indonesia,BMKG
43,bmg2024dgle,2024-02-16T05:04:27.841651Z,-6.994665622711182,106.72607421875,2.2474188671819668,MLv,16,26,81.65077209472656,Java, Indonesia,BMKG
44,bmg2024dfso,2024-02-15T19:40:04.921376Z,-6.735036373138428,106.14361572265625,2.1123285781400316,M,10,17,117.60137176513672,Java, Indonesia,BMKG
45,bmg2024decu,2024-02-14T22:33:55.615943Z,-6.672053813934326,105.79901885986328,2.456037707706755,M,18,24,113.9812469482422,Sunda Strait, Indonesia,BMKG
46,bmg2024cynq,2024-02-11T21:13:26.990177Z,-7.018456459,106.1380081,2.601342316,MLv,93,38,160.4217834,Java, Indonesia,BMKG
47,bmg2024cymp,2024-02-11T20:42:06.944223Z,-6.093000889,105.712326,3.602338675,MLv,149,62,134.3067398,Sunda Strait, Indonesia,BMKG
48,bmg2024cxqf,2024-02-11T09:22:53.643882Z,-6.979990959,105.5123291,3.653223462,M,24,52,215.5361176,Sunda Strait, Indonesia,BMKG
49,bmg2024cwyd,2024-02-11T00:15:44.056212Z,-7.155399323,106.6594772,2.867406433,MLv,80,46,86.7657547,Java, Indonesia,BMKG
50,bmg2024cvci,2024-02-10T00:05:44.191935Z,-6.993901252746582,106.66561126708984,2.2168019627289937,M,18,29,78.99217987060547,Java, Indonesia,BMKG
51,bmg2024cpil,2024-02-06T20:22:32.797357Z,-6.991653919,106.6751251,2.31556625,MLv,11,23,79.45591736,Java, Indonesia,BMKG
52,bmg2024cmbl,2024-02-05T01:25:24.016412Z,-6.78080225,107.0812531,3.371671356,MLv,10,108,86.22386932,Java, Indonesia,BMKG
53,bmg2024clln,2024-02-04T17:22:51.70663Z,-7.23989296,107.6322021,2.431217638,MLv,10,22,86.68890381,Java, Indonesia,BMKG
54,bmg2024cgto,2024-02-02T03:46:29.882486Z,-7.260397434,107.6363907,3.107339008,MLv,10,46,88.32551575,Java, Indonesia,BMKG
55,bmg2024gfws,2024-03-29T14:22:40.247685Z,-6.724088668823242,106.65523529052734,2.917618915642467,M,10,19,66.67477416992188,Java, Indonesia,BMKG
56,bmg2024gatk,2024-03-26T19:00:48.876455Z,-6.7335524559021,106.70127868652344,3.0402776738954986,M,10,29,59.14830207824707,Java, Indonesia,BMKG
