ID,Kabupaten_,kode,Ibukota,Dsr_Hukum,Provinsi,Bupati_Wal,Wakil,Batas_Utar,Batas_Sela,ID_2,Kabupate_1,kode_2,Ibukota_2,Dsr_Hukum_,Provinsi_2,Bupati_W_1,Wakil_2,Batas_Ut_1,Batas_Se_1,ID_3,Kabupate_2,kode_3,Ibukota_3,Dsr_Huku_1,Provinsi_3,Bupati_W_2,Wakil_3,Batas_Ut_2,Batas_Se_2,lat,long
,,,,,,,,,,298,BANYU ASIN,"1701",Pangkalan Balai,UU No. 6/2002,Sumatera Selatan,H. Amiruddin Inoed,A Rachman Hasan,Kab Muaro Jambi & Tj. Jabung Timur,"Kab OKI, Ogan Ilir & Kota Palembang",299,MUSI BANYU ASIN,"1705",Sekayu,,Sumatera Selatan,H. Alex Noerdin,H. Pahri Azhari,"Kab Muaro Jambi, Batanghari & Kab Sarolangun",Kab Muara Enim,-2.392,104.938
121,Kota PALEMBANG,"1773",Palembang,,Sumatera Selatan,Eddy Santana Putra,H. Tolha Hasan,Kab Banyu Asin,Kab Ogan Ilir,,,,,,,,,,,,,,,,,,,,,-3.002,104.728
,,,,,,,,,,298,BANYU ASIN,"1701",Pangkalan Balai,UU No. 6/2002,Sumatera Selatan,H. Amiruddin Inoed,A Rachman Hasan,Kab Muaro Jambi & Tj. Jabung Timur,"Kab OKI, Ogan Ilir & Kota Palembang",,,,,,,,,,,-2.514,104.630
,,,,,,,,,,,,,,,,,,,,299,MUSI BANYU ASIN,"1705",Sekayu,,Sumatera Selatan,H. Alex Noerdin,H. Pahri Azhari,"Kab Muaro Jambi, Batanghari & Kab Sarolangun",Kab Muara Enim,-2.433,103.763
