No,Event ID,Date time,Latitude,Longitude,Magnitude,Mag Type,Depth (km),Phase Coun,Azimuth Ga,Location,Agency,lat,long
32,bmg2024brzi,2024/01/25 01:38:09.958,1.408066034000000,121.339172399999995,2.882393969000000,M,10,13,229.974342299999989,"Minahassa Peninsula, Sulawesi",BMKG,10155699.740,315220.880
33,bmg2024brsm,2024/01/24 22:10:48.252,2.131122828000000,124.899040200000002,4.336270993000001,MLv,229,43,122.559300399999998,Celebes Sea,BMKG,10235684.390,711209.275
34,bmg2024brqr,2024/01/24 21:16:39.903,-1.064079046000000,120.354774500000005,2.479344913000000,M,10,24,57.380982160000002,"Sulawesi, Indonesia",BMKG,9882260.885,205597.814
35,bmg2024brqm,2024/01/24 21:10:56.956,-0.122366085600000,123.420959499999995,2.754864140000000,MLv,133,24,97.810112000000004,"Minahassa Peninsula, Sulawesi",BMKG,9986474.503,546842.571
36,bmg2024brma,2024/01/24 18:55:45.348,-0.325244516100000,119.840408300000007,2.255187203000000,M,10,23,119.520813000000004,"Minahassa Peninsula, Sulawesi",BMKG,9963995.606,148242.658
37,bmg2024bpzq,2024/01/23 23:32:02.262,-1.084122300148010,121.498283386230000,3.760054245060710,M,10,70,47.335227966308601,"Sulawesi, Indonesia",BMKG,9880130.331,332907.004
38,bmg2024bpoa,2024/01/23 17:39:05.895,-2.436115741729740,121.220367431640994,3.163893244450780,MLv,10,18,69.316680908203097,"Sulawesi, Indonesia",BMKG,9730603.728,302117.307
39,bmg2024bplk,2024/01/23 16:20:07.568,-1.072674393653870,121.482963562012003,2.592816968665120,M,10,28,76.850952148437500,"Sulawesi, Indonesia",BMKG,9881395.269,331201.369
40,bmg2024bpfv,2024/01/23 13:31:42.580,0.351480841636658,122.232475280762003,2.545281520874630,M,112,24,74.370866775512681,"Minahassa Peninsula, Sulawesi",BMKG,10038852.700,414592.740
41,bmg2024bnzz,2024/01/22 21:25:12.124,-0.761624991900000,124.492462200000006,4.168463999000000,MLv,10,44,57.027389530000001,Southern Molucca Sea,BMKG,9915788.748,666078.004
42,bmg2024bnvr,2024/01/22 19:15:33.667,-2.440437555000000,120.860282900000001,2.938378107000000,M,10,12,98.394500730000004,"Sulawesi, Indonesia",BMKG,9730067.438,262062.078
43,bmg2024bnjq,2024/01/22 13:09:55.628,-4.642502785000000,121.293937700000001,2.916941756000000,M,3,24,139.379707300000007,"Sulawesi, Indonesia",BMKG,9486624.587,310748.894
44,bmg2024bmdf,2024/01/21 20:47:19.555,-1.083834410000000,121.501014699999999,3.258328158000000,MLv,8,42,47.342819210000002,"Sulawesi, Indonesia",BMKG,9880162.313,333210.966
45,bmg2024bmdd,2024/01/21 20:44:42.505,-1.094337225000000,121.491287200000002,2.654216667000000,MLv,10,34,56.873321529999998,"Sulawesi, Indonesia",BMKG,9879000.489,332128.938
46,bmg2024bmag,2024/01/21 19:18:00.921,-2.440272808000000,120.993789699999994,2.784889808000000,MLv,2,36,54.634906770000001,"Sulawesi, Indonesia",BMKG,9730108.550,276914.385
47,bmg2024blhz,2024/01/21 10:03:17.911,0.153249695900000,122.882011399999996,3.803084696000000,M,227,56,29.383941650000001,"Minahassa Peninsula, Sulawesi",BMKG,10016938.730,486870.860
48,bmg2024blht,2024/01/21 09:56:31.629,0.214416250600000,122.537673999999996,3.250548917000000,MLv,127,28,68.229148859999995,"Minahassa Peninsula, Sulawesi",BMKG,10023700.210,448554.487
49,bmg2024bkfd,2024/01/20 19:29:43.333,-1.050153255000000,121.482383700000000,3.504281546000000,MLv,10,62,49.375885009999998,"Sulawesi, Indonesia",BMKG,9883885.387,331135.611
50,bmg2024bjre,2024/01/20 12:26:00.714,0.475067973100000,122.515106200000005,2.506157927000000,MLv,12,7,107.674598700000004,"Minahassa Peninsula, Sulawesi",BMKG,10052511.190,446044.654
51,bmg2024bipx,2024/01/19 22:39:51.317,0.165749117700000,122.927215599999997,4.066626181000000,MLv,24,75,29.757080080000001,"Minahassa Peninsula, Sulawesi",BMKG,10018320.270,491900.950
52,bmg2024binc,2024/01/19 21:14:30.277,-2.502441406000000,121.699195900000007,2.550762446000000,M,25,20,62.272712710000000,"Sulawesi, Indonesia",BMKG,9723331.581,355377.725
53,bmg2024biae,2024/01/19 14:43:02.560,-0.375868201300000,123.222015400000004,3.162298569000000,MLv,26,29,91.827106479999998,"Minahassa Peninsula, Sulawesi",BMKG,9958454.950,524704.290
