No,Event ID,Date time,Latitude,Longitude,Magnitude,Mag Type,Depth (km),Phase Coun,Azimuth Ga,Location,Agency,lat,long
16,bmg2024bxan,2024/01/27 19:55:05.299,-0.112616196274757,123.078422546387003,3.132757439242270,M,132,44,81.652393341064496,"Minahassa Peninsula, Sulawesi",BMKG,-0.113,123.078
17,bmg2024bwyu,2024/01/27 19:03:05.314,0.239960521459579,122.101524353027003,2.627162264647620,MLv,171,33,53.876956939697301,"Minahassa Peninsula, Sulawesi",BMKG,0.240,122.102
18,bmg2024bwyd,2024/01/27 18:42:54.375,-0.526004374027252,123.455673217772997,3.375316899173000,MLv,10,51,78.248359680175795,"Minahassa Peninsula, Sulawesi",BMKG,-0.526,123.456
19,bmg2024bwmz,2024/01/27 13:05:27.966,-0.604492902755737,123.317962646484006,2.797921070823640,MLv,10,24,97.281749725341797,"Minahassa Peninsula, Sulawesi",BMKG,-0.604,123.318
20,bmg2024bvqq,2024/01/27 01:47:26.769,-6.349049568000000,120.260452299999997,4.743000650000000,MLv,10,58,79.663246150000006,Flores Sea,BMKG,-6.349,120.260
21,bmg2024bvna,2024/01/26 23:57:39.526,-6.353785514831540,120.262802124022997,4.128852715920630,MLv,10,81,69.286949157714801,Flores Sea,BMKG,-6.354,120.263
22,bmg2024bvkd,2024/01/26 22:31:06.308,-0.354635655879974,122.039848327637003,3.782177034666630,MLv,10,76,41.303474426269503,"Minahassa Peninsula, Sulawesi",BMKG,-0.355,122.040
23,bmg2024buzc,2024/01/26 16:55:47.105,-0.122266724705696,122.944061279297003,3.004129712997180,MLv,121,36,56.808021545410199,"Minahassa Peninsula, Sulawesi",BMKG,-0.122,122.944
24,bmg2024buyz,2024/01/26 16:52:47.169,-0.459475755691528,121.853500366210994,3.863011833524250,MLv,13,80,39.834267616272001,"Minahassa Peninsula, Sulawesi",BMKG,-0.459,121.854
25,bmg2024btxg,2024/01/26 02:52:01.659,-0.069955073300000,123.445922899999999,3.247075050000000,MLv,124,26,84.973434449999999,"Minahassa Peninsula, Sulawesi",BMKG,-0.070,123.446
26,bmg2024bsug,2024/01/25 12:12:40.401,-0.680007696200000,122.195342999999994,2.856182396000000,MLv,6,26,50.230560300000000,"Minahassa Peninsula, Sulawesi",BMKG,-0.680,122.195
27,bmg2024bsts,2024/01/25 11:56:04.861,-0.728319525700000,122.208725000000001,3.362796537000000,MLv,7,35,52.146911619999997,"Minahassa Peninsula, Sulawesi",BMKG,-0.728,122.209
28,bmg2024bssx,2024/01/25 11:32:22.709,-0.625859975800000,122.255020099999996,4.763626432000000,MLv,3,101,35.448120119999999,"Minahassa Peninsula, Sulawesi",BMKG,-0.626,122.255
29,bmg2024bssk,2024/01/25 11:17:14.754,-0.621190726800000,122.265594500000006,3.015943681000000,MLv,10,21,88.310863490000003,"Minahassa Peninsula, Sulawesi",BMKG,-0.621,122.266
30,bmg2024bssc,2024/01/25 11:07:42.516,-0.585814476000000,122.297637899999998,4.073450105000000,MLv,10,46,43.962127690000003,"Minahassa Peninsula, Sulawesi",BMKG,-0.586,122.298
31,bmg2024bsck,2024/01/25 03:11:43.960,-3.367552280000000,119.799484300000003,2.594074956000000,M,10,27,77.064865110000000,"Sulawesi, Indonesia",BMKG,-3.368,119.799
32,bmg2024brzi,2024/01/25 01:38:09.958,1.408066034000000,121.339172399999995,2.882393969000000,M,10,13,229.974342299999989,"Minahassa Peninsula, Sulawesi",BMKG,1.408,121.339
33,bmg2024brsm,2024/01/24 22:10:48.252,2.131122828000000,124.899040200000002,4.336270993000001,MLv,229,43,122.559300399999998,Celebes Sea,BMKG,2.131,124.899
34,bmg2024brqr,2024/01/24 21:16:39.903,-1.064079046000000,120.354774500000005,2.479344913000000,M,10,24,57.380982160000002,"Sulawesi, Indonesia",BMKG,-1.064,120.355
35,bmg2024brqm,2024/01/24 21:10:56.956,-0.122366085600000,123.420959499999995,2.754864140000000,MLv,133,24,97.810112000000004,"Minahassa Peninsula, Sulawesi",BMKG,-0.122,123.421
36,bmg2024brma,2024/01/24 18:55:45.348,-0.325244516100000,119.840408300000007,2.255187203000000,M,10,23,119.520813000000004,"Minahassa Peninsula, Sulawesi",BMKG,-0.325,119.840
37,bmg2024bpzq,2024/01/23 23:32:02.262,-1.084122300148010,121.498283386230000,3.760054245060710,M,10,70,47.335227966308601,"Sulawesi, Indonesia",BMKG,-1.084,121.498
38,bmg2024bpoa,2024/01/23 17:39:05.895,-2.436115741729740,121.220367431640994,3.163893244450780,MLv,10,18,69.316680908203097,"Sulawesi, Indonesia",BMKG,-2.436,121.220
39,bmg2024bplk,2024/01/23 16:20:07.568,-1.072674393653870,121.482963562012003,2.592816968665120,M,10,28,76.850952148437500,"Sulawesi, Indonesia",BMKG,-1.073,121.483
40,bmg2024bpfv,2024/01/23 13:31:42.580,0.351480841636658,122.232475280762003,2.545281520874630,M,112,24,74.370866775512681,"Minahassa Peninsula, Sulawesi",BMKG,0.351,122.232
