No,Event ID,Date time,Latitude,Longitude,Magnitude,Mag Type,Depth (km),Phase Count,Azimuth Gap,Location,Agency
37,bmg2024bpzq,2024-01-23T23:32:02.262204Z,-1.08412230014801,121.49828338623,3.76005424506071,M,10,70,47.3352279663086,"Sulawesi, Indonesia",BMKG
38,bmg2024bpoa,2024-01-23T17:39:05.894976Z,-2.43611574172974,121.220367431641,3.16389324445078,MLv,10,18,69.3166809082031,"Sulawesi, Indonesia",BMKG
39,bmg2024bplk,2024-01-23T16:20:07.568394Z,-1.07267439365387,121.482963562012,2.59281696866512,M,10,28,76.8509521484375,"Sulawesi, Indonesia",BMKG
40,bmg2024bpfv,2024-01-23T13:31:42.580333Z,0.351480841636658,122.232475280762,2.54528152087463,M,112,24,74.3708667755127,"Minahassa Peninsula, Sulawesi",BMKG
41,bmg2024bnzz,2024-01-22T21:25:12.12428Z,-0.7616249919,124.4924622,4.168463999,MLv,10,44,57.02738953,Southern Molucca Sea,BMKG
42,bmg2024bnvr,2024-01-22T19:15:33.666928Z,-2.440437555,120.8602829,2.938378107,M,10,12,98.39450073,"Sulawesi, Indonesia",BMKG
43,bmg2024bnjq,2024-01-22T13:09:55.628413Z,-4.642502785,121.2939377,2.916941756,M,3,24,139.3797073,"Sulawesi, Indonesia",BMKG
44,bmg2024bmdf,2024-01-21T20:47:19.554969Z,-1.08383441,121.5010147,3.258328158,MLv,8,42,47.34281921,"Sulawesi, Indonesia",BMKG
45,bmg2024bmdd,2024-01-21T20:44:42.505496Z,-1.094337225,121.4912872,2.654216667,MLv,10,34,56.87332153,"Sulawesi, Indonesia",BMKG
46,bmg2024bmag,2024-01-21T19:18:00.920939Z,-2.440272808,120.9937897,2.784889808,MLv,2,36,54.63490677,"Sulawesi, Indonesia",BMKG
47,bmg2024blhz,2024-01-21T10:03:17.910973Z,0.1532496959,122.8820114,3.803084696,M,227,56,29.38394165,"Minahassa Peninsula, Sulawesi",BMKG
48,bmg2024blht,2024-01-21T09:56:31.628973Z,0.2144162506,122.537674,3.250548917,MLv,127,28,68.22914886,"Minahassa Peninsula, Sulawesi",BMKG
49,bmg2024bkfd,2024-01-20T19:29:43.33321Z,-1.050153255,121.4823837,3.504281546,MLv,10,62,49.37588501,"Sulawesi, Indonesia",BMKG
50,bmg2024bjre,2024-01-20T12:26:00.713687Z,0.4750679731,122.5151062,2.506157927,MLv,12,7,107.6745987,"Minahassa Peninsula, Sulawesi",BMKG
51,bmg2024bipx,2024-01-19T22:39:51.31744Z,0.1657491177,122.9272156,4.066626181,MLv,24,75,29.75708008,"Minahassa Peninsula, Sulawesi",BMKG
52,bmg2024binc,2024-01-19T21:14:30.27736Z,-2.502441406,121.6991959,2.550762446,M,25,20,62.27271271,"Sulawesi, Indonesia",BMKG
53,bmg2024biae,2024-01-19T14:43:02.559571Z,-0.3758682013,123.2220154,3.162298569,MLv,26,29,91.82710648,"Minahassa Peninsula, Sulawesi",BMKG
54,bmg2024bhvm,2024-01-19T12:20:35.446558Z,-3.690580368,118.8257065,3.39309407,M,12,25,158.8961029,"Sulawesi, Indonesia",BMKG
55,bmg2024bhgq,2024-01-19T04:50:10.558605Z,-1.119884133,121.4948959,2.460011818,MLv,10,22,105.9920692,"Sulawesi, Indonesia",BMKG
56,bmg2024bhcs,2024-01-19T02:51:37.195725Z,-1.050004363,121.4963608,4.190778394,MLv,10,94,37.97263336,"Sulawesi, Indonesia",BMKG
57,bmg2024bhac,2024-01-19T01:32:20.860741Z,-0.08616261929,123.4458389,4.361613162,MLv,100,116,72.6756897,"Minahassa Peninsula, Sulawesi",BMKG
58,bmg2024bgxe,2024-01-19T00:04:05.167956Z,-0.2536173463,125.223053,3.930165186,MLv,10,50,60.66873169,Southern Molucca Sea,BMKG
59,bmg2024bgtb,2024-01-18T21:58:32.949683Z,-1.315713763,121.5027924,2.549071878,M,10,19,73.44598198,"Sulawesi, Indonesia",BMKG
60,bmg2024bgsi,2024-01-18T21:37:08.492133Z,-0.6734466553,121.935318,2.888892198,MLv,10,27,87.50524902,"Minahassa Peninsula, Sulawesi",BMKG
