ID,ID2,KabKot, Long ,Lat,Y,X1,X2,X3,X4,X5
428,41,Padang Lawas ,99.73,1.05,11000,4525,58464.33333,4238.7,2598.63389,9694
444,76,Bengkalis,102.1,1.47,13750,5654.785714,61991.33333,2848.74,4520.833651,133036
445,78,Kepulauan Meranti,102.72,1.02,12500,5654.785714,61991.33333,2848.74,1492.666787,16731
450,104,Musi Rawas Utara,102.71,-2.79,11000,5500,30579.66667,3793.2,1569.910658,6409
464,108,Kota Lubuklinggau,102.86,-3.29,10708.25,4562.5,30579.66667,3793.2,1897.28418,5633
465,96,Musi Rawas,103.3,-3.26,10000,4600,30579.66667,3793.2,3303.190335,15928
471,87,Tanjab Barat,103.46,-0.82,11000,4280.057692,11480,1931.97,2584.760744,35678
472,71,Indragiri Ilir,103.15,-0.32,13000,5654.785714,61991.33333,2848.74,5843.044106,61077
500,128,Pesisir Barat,103.97,-5.18,10175,4300,50167.66667,4213.78,1199.360836,3965
501,124,Tulangbawang,105.26,-4.49,11000,4300,50167.66667,4213.78,3424.124597,19898
502,42,Labuhan Batu Selatan,100.06,1.9,11500,4802.555556,58464.33333,4238.7,3156.191901,23196
503,43,Labuhan Batu Utara,99.66,2.56,12500,4802.555556,58464.33333,4238.7,3492.163037,21162
504,119,Tanggamus,104.63,-5.5,10000,4645,50167.66667,4213.78,4583.483032,13470
505,91,Kota Sungai Penuh,101.4,-2.06,12000,4280.057692,11480,1931.97,708.0513985,6384
510,61,Pasaman Barat,99.59,0.32,11000,5612.5,61991.33333,2209,4417.488029,14068
512,58,Pasaman,100.19,0.11,12000,5262.5,61991.33333,2209,2877.553748,8050
